MSOA,LSOA,Consumption (kWh),Number of meters,Mean consumption (kWh per meter),Median consumption (kWh per meter)
E02004413,E01021190,7692019.72,482,15958.55,15105.03
E02004413,E01021200,5767011.83,501,11511,10321.5
E02004413,E01021201,5804298.82,353,16442.77,15165.68
E02004414,E01021221,6798770.22,545,12474.81,11215.98
E02004414,E01021222,6753213.02,613,11016.66,9962.52
E02004414,E01021227,8801616.37,681,12924.55,11938.86
E02004414,E01021228,9003511.83,672,13398.08,13599.61
E02004415,E01021146,10946079.88,743,14732.27,12715.98
E02004415,E01021147,950377.71,64,14849.65,14409.27
E02004415,E01021148,-,-,-,-
E02004415,E01021165,581344.18,40,14533.6,10608.48
E02004416,E01021188,-,-,-,-
E02004416,E01021198,-,-,-,-
E02004416,E01021199,-,-,-,-
E02004416,E01021204,614366.86,44,13962.88,14396.94
E02004416,E01021205,-,-,-,-
E02004417,E01021174,8735679.49,711,12286.47,11061.14
E02004417,E01021175,7188876.73,641,11215.1,10646.94
E02004417,E01021176,7319301.78,596,12280.71,10876.73
E02004417,E01021177,7187201.18,632,11372.15,9459.57
E02004418,E01021180,7026076.92,564,12457.58,11592.7
E02004418,E01021181,6168225.84,537,11486.45,10781.07
E02004418,E01021182,7207335.31,600,12012.23,11160.26
E02004418,E01021183,5496039.45,606,9069.37,7889.55
E02004419,E01021178,4961162.72,520,9540.7,9214
E02004419,E01021179,5639417.16,607,9290.64,8297.83
E02004419,E01021184,8602926.04,666,12917.31,11970.41
E02004419,E01021185,5888158.78,628,9376.05,8696.25
E02004420,E01021142,3970305.72,345,11508.13,11002.96
E02004420,E01021143,5898973.37,328,17984.67,16597.14
E02004420,E01021166,14932010.85,769,19417.44,17846.15
E02004420,E01021195,13251179.49,1091,12145.9,10619.33
E02004420,E01021196,9271885.6,835,11104.05,10388.56
E02004420,E01021197,8864139.05,780,11364.28,10212.03
E02004421,E01021212,12666275.15,1276,9926.55,9366.37
E02004421,E01021213,7861825.44,761,10330.91,9532.54
E02004421,E01021214,7934894.48,663,11968.17,10772.19
E02004421,E01021215,6952766.27,577,12049.85,11535.5
E02004421,E01021216,5951872.78,520,11445.91,10758.38
E02004422,E01021206,7871416.17,590,13341.38,11915.19
E02004422,E01021207,7464971.4,712,10484.51,9925.05
E02004422,E01021208,11229873.77,865,12982.51,11522.68
E02004422,E01021209,10113666.67,814,12424.65,11758.88
E02004422,E01021210,7595077.91,563,13490.37,13270.22
E02004422,E01021211,10665122.29,824,12943.11,11634.62
E02004423,E01021232,9394167.65,796,11801.72,10571.5
E02004423,E01021233,7594022.68,627,12111.68,11365.88
E02004423,E01021234,9715481.26,667,14565.94,13361.93
E02004423,E01021235,9816694.28,647,15172.63,13883.63
E02004423,E01021236,8425120.32,747,11278.61,10851.08
E02004424,E01021237,10434452.03,482,21648.24,20900.59
E02004424,E01021238,8978570.72,519,17299.75,16420.38
E02004424,E01021242,7991553.91,490,16309.29,15814.54
E02004424,E01021250,9473510.39,626,15133.4,14438.18
E02004424,E01021251,10702211.67,614,17430.31,16789.32
E02004425,E01021245,5853966.63,614,9534.15,8419.39
E02004425,E01021246,9419722.06,659,14293.96,13409.5
E02004425,E01021248,7570909,587,12897.63,12631.06
E02004425,E01021249,9595485.66,617,15551.84,15252.23
E02004425,E01021252,6948186.66,495,14036.74,14039.56
E02004426,E01021239,11858066.27,528,22458.46,21182.49
E02004426,E01021240,10617134.52,766,13860.49,12586.05
E02004426,E01021241,8422633.04,660,12761.57,11860.53
E02004426,E01021243,10348608.31,683,15151.7,14791.3
E02004426,E01021247,11412087.04,613,18616.78,17179.03
E02004427,E01021244,11001214.64,693,15874.77,14803.17
E02004427,E01021253,14546881.82,706,20604.65,19170.62
E02004427,E01021255,9733144.41,618,15749.42,14701.78
E02004427,E01021256,10433582.59,614,16992.81,16122.16
E02004427,E01021258,7510321.46,709,10592.84,10211.67
E02004428,E01021334,10498239.37,713,14724.04,13811.08
E02004428,E01021336,9382215.63,676,13879.02,12833.83
E02004428,E01021338,9489990.11,822,11545,10590.5
E02004428,E01021339,6835353.12,591,11565.74,10638.97
E02004429,E01021264,11929959.45,499,23907.73,21713.16
E02004429,E01021329,7803226.51,657,11877.06,11553.91
E02004429,E01021330,9039105.84,646,13992.42,13257.17
E02004429,E01021332,9269651.83,624,14855.21,14451.04
E02004429,E01021333,10911828.88,664,16433.48,15956.48
E02004430,E01021335,8157220.57,570,14310.91,13709.2
E02004430,E01021337,8188249.26,632,12956.09,12324.93
E02004430,E01021340,9228675.57,717,12871.24,12220.57
E02004430,E01021341,9877875.37,682,14483.69,13668.64
E02004430,E01021345,9215736.89,767,12015.3,11301.68
E02004431,E01021331,8705782.39,728,11958.49,11174.58
E02004431,E01021342,6536610.29,667,9800.02,9430.27
E02004431,E01021343,6115787.34,633,9661.59,8951.53
E02004431,E01021344,10031917.9,757,13252.2,12294.76
E02004431,E01021346,9651888.23,881,10955.61,10382.79
E02004432,E01021254,10620420.38,502,21156.22,19506.92
E02004432,E01021257,9740805.14,610,15968.53,14942.14
E02004432,E01021259,8609909.99,630,13666.52,13467.85
E02004432,E01021260,12336531.16,688,17931,16187.93
E02004433,E01021261,8913106.82,632,14103.02,12764.59
E02004433,E01021262,8019919.88,738,10867.1,10142.43
E02004433,E01021263,8472252.23,711,11915.97,11138.48
E02004433,E01021274,7551912.96,578,13065.59,12178.54
E02004433,E01021279,6768563.8,624,10847.06,10361.52
E02004434,E01021301,4323496.54,521,8298.46,7965.38
E02004434,E01021303,3554753.71,375,9479.34,8909.99
E02004434,E01021307,5528245.3,498,11100.89,9777.45
E02004434,E01021308,2068747.77,170,12169.1,12008.41
E02004434,E01021309,6298382.79,470,13400.81,10753.71
E02004434,E01021312,10021739.86,528,18980.57,17675.57
E02004435,E01021265,7380106.82,706,10453.41,10233.43
E02004435,E01021267,8900055.39,741,12010.87,10647.87
E02004435,E01021269,9342854.6,865,10800.99,10177.05
E02004435,E01021270,7360873.39,868,8480.27,7772.5
E02004435,E01021272,7199689.42,661,10892.12,10514.34
E02004436,E01021271,4160838.77,568,7325.42,7456.97
E02004436,E01021302,5309443.13,655,8106.02,7677.55
E02004436,E01021304,5521531.16,607,9096.43,8522.26
E02004436,E01021305,5695999.01,573,9940.66,9441.15
E02004436,E01021306,5981887.24,623,9601.75,8894.16
E02004437,E01021273,7862154.3,742,10595.9,10078.14
E02004437,E01021275,10357730.96,733,14130.6,13697.33
E02004437,E01021276,5414135.51,523,10352.08,9928.78
E02004437,E01021277,5793355.09,530,10930.86,9490.6
E02004437,E01021278,13644062.55,1446,9435.73,8019.29
E02004438,E01021266,7879968.35,742,10619.9,10235.41
E02004438,E01021268,7562560.83,704,10742.27,9136.99
E02004438,E01021318,8426046.49,839,10042.96,8879.33
E02004438,E01021320,6448031.65,646,9981.47,9810.09
E02004438,E01021321,6421497.53,680,9443.38,9234.42
E02004439,E01021286,6871907.02,730,9413.57,8670.62
E02004439,E01021288,5330932.74,545,9781.53,9362.02
E02004439,E01021289,7515005.93,740,10155.41,9556.87
E02004439,E01021290,6398037.59,687,9313.01,8909.99
E02004439,E01021291,7384582.59,855,8636.94,8173.1
E02004440,E01021287,6107377.84,616,9914.57,9253.71
E02004440,E01021292,7050144.41,710,9929.78,9505.44
E02004440,E01021293,7029488.63,734,9576.96,9166.17
E02004440,E01021298,7225108.8,660,10947.13,10680.02
E02004440,E01021319,8051239.37,918,8770.41,8298.71
E02004441,E01021313,9185810.09,618,14863.77,13902.08
E02004441,E01021314,5106157.27,586,8713.58,8182
E02004441,E01021315,5365647.87,595,9017.9,8698.32
E02004441,E01021316,7655053.41,711,10766.6,8886.25
E02004441,E01021317,5913517.31,610,9694.29,9307.12
E02004442,E01021322,6573347.18,619,10619.3,10101.88
E02004442,E01021323,5906391.69,654,9031.18,8549.46
E02004442,E01021324,6596666.67,653,10102.09,9028.68
E02004442,E01021325,5402761.62,655,8248.49,7509.4
E02004442,E01021327,6132275.96,621,9874.84,9589.52
E02004443,E01021294,8717552.92,641,13599.93,12887.24
E02004443,E01021295,5439897.13,539,10092.57,9231.45
E02004443,E01021296,7163932.74,723,9908.62,9457.96
E02004443,E01021297,7221854.6,687,10512.16,9880.32
E02004443,E01021299,10227002.97,596,17159.4,15995.05
E02004444,E01021280,6948410.48,573,12126.37,11178.04
E02004444,E01021281,7311823.94,455,16069.94,15566.77
E02004444,E01021282,11906563.8,625,19050.5,18212.66
E02004444,E01021283,2339300.69,100,23393.01,23389.71
E02004444,E01021284,8033147.38,518,15508.01,15189.42
E02004444,E01021285,7617944.61,516,14763.46,14515.83
E02004445,E01021300,7847386.75,773,10151.86,9319.49
E02004445,E01021310,4733314.54,331,14300.04,13835.81
E02004445,E01021311,5508625.12,574,9596.91,9919.39
E02004445,E01021326,6872913.95,695,9889.08,9633.04
E02004445,E01021328,6153072.21,622,9892.4,9362.02
E02004446,E01021375,4158245.54,287,14488.66,13252.48
E02004446,E01021376,6047514.85,394,15349.02,14478.22
E02004446,E01021414,-,-,-,-
E02004446,E01021430,-,-,-,-
E02004447,E01021398,-,-,-,-
E02004447,E01021406,472307.92,32,14759.62,12810.89
E02004447,E01021407,4338174.26,265,16370.47,15021.78
E02004448,E01021382,4783849.5,286,16726.75,15366.34
E02004448,E01021397,10795346.53,769,14038.16,12348.51
E02004448,E01021399,8623361.39,642,13432.03,12806.93
E02004448,E01021400,8528528.71,570,14962.33,12700
E02004449,E01021387,9794786.14,713,13737.43,12122.77
E02004449,E01021388,8785793.07,664,13231.62,11517.82
E02004449,E01021391,6795163.37,656,10358.48,10041.09
E02004449,E01021392,8630252.48,719,12003.13,11445.54
E02004449,E01021393,7105802.97,598,11882.61,11659.41
E02004450,E01021404,3697548.51,244,15153.89,14295.54
E02004450,E01021411,-,-,-,-
E02004450,E01021412,-,-,-,-
E02004450,E01021413,-,-,-,-
E02004451,E01021389,10556450.5,838,12597.2,11205.45
E02004451,E01021390,8983022.77,651,13798.81,12449.5
E02004451,E01021408,9542673.27,553,17256.19,15769.31
E02004451,E01021409,7819387.13,538,14534.18,13002.48
E02004451,E01021410,9022110.89,708,12743.09,10975.25
E02004452,E01021349,5370599.01,442,12150.68,11555.94
E02004452,E01021351,7833243.56,557,14063.27,13436.63
E02004452,E01021352,6439751.49,494,13035.93,12617.33
E02004452,E01021355,10606785.15,807,13143.48,12169.31
E02004452,E01021356,8881694.06,532,16694.91,15882.18
E02004452,E01021381,6912072.28,379,18237.66,16898.02
E02004453,E01021354,5026795.05,522,9629.88,9327.23
E02004453,E01021357,8457600.99,610,13864.92,12171.29
E02004453,E01021358,11079666.34,903,12269.84,10711.88
E02004453,E01021359,8376141.58,829,10103.91,9643.56
E02004454,E01021350,10962686.14,724,15141.83,14048.02
E02004454,E01021353,7081431.68,597,11861.69,11482.18
E02004454,E01021365,12113426.73,1001,12101.33,10522.77
E02004454,E01033458,3776788.12,414,9122.68,7879.7
E02004454,E01033459,8709059.41,683,12751.19,11030.69
E02004455,E01021364,8488157.43,643,13200.87,12595.05
E02004455,E01021366,9888182.18,626,15795.82,14598.51
E02004455,E01021383,11911945.54,647,18411.04,16909.9
E02004455,E01021405,11555464.36,794,14553.48,13591.09
E02004456,E01021368,6058039.47,594,10198.72,8857.92
E02004456,E01021370,6777351.49,622,10896.06,9946.04
E02004456,E01021372,9030452.48,786,11489.13,10899.01
E02004456,E01021373,11767758.42,1149,10241.74,9593.07
E02004456,E01021374,6037802.97,576,10482.3,9876.73
E02004457,E01021360,8730731.68,756,11548.59,10652.97
E02004457,E01021361,3839207.92,375,10237.89,10030.69
E02004457,E01021367,6069059.41,522,11626.55,10625.74
E02004457,E01021369,12500116.83,994,12575.57,11613.37
E02004457,E01021380,6150430.69,466,13198.35,11931.19
E02004458,E01021347,12574531.68,779,16141.89,14685.15
E02004458,E01021371,8257768.32,680,12143.78,11203.47
E02004458,E01021384,12556163.37,831,15109.7,13832.67
E02004458,E01021385,6886569.31,520,13243.4,10901.98
E02004458,E01021386,8930055.45,557,16032.42,15576.24
E02004459,E01021377,10546055.45,599,17606.1,14945.54
E02004459,E01021378,9821570.3,716,13717.28,11726.73
E02004459,E01021379,9073276.24,601,15096.97,14206.93
E02004459,E01021401,7406253.47,522,14188.23,12643.07
E02004459,E01021402,13136835.64,833,15770.51,14230.69
E02004459,E01021403,10077500.99,611,16493.45,15058.42
E02004460,E01021362,6653869.31,475,14008.15,12782.18
E02004460,E01021417,7995818.81,616,12980.23,10987.13
E02004460,E01021418,5722283.17,551,10385.27,10080.2
E02004460,E01021419,7594264.36,697,10895.64,10391.09
E02004460,E01021426,5190313.86,455,11407.28,10091.09
E02004460,E01021428,8000571.29,618,12945.91,12201.98
E02004461,E01021423,5328332.67,561,9497.92,9076.24
E02004461,E01021425,5189089.11,575,9024.5,8728.71
E02004461,E01021427,2399029.7,215,11158.28,8727.72
E02004461,E01021429,5367840.59,501,10714.25,9838.61
E02004462,E01021415,6779521.78,548,12371.39,10301.98
E02004462,E01021416,11400359.41,770,14805.66,12462.38
E02004462,E01021420,5888224.25,596,9879.57,9478.71
E02004462,E01021422,8010519.8,735,10898.67,10560.4
E02004462,E01033460,6196562.38,491,12620.29,11636.63
E02004462,E01033461,6129843.56,461,13296.84,11652.48
E02004462,E01033462,3728439.6,354,10532.32,9264.85
E02004463,E01021348,2026521.78,136,14900.9,13552.97
E02004463,E01021394,7188362.38,521,13797.24,12730.69
E02004463,E01021395,7755669.31,545,14230.59,13366.34
E02004463,E01021396,2037067.33,131,15550.13,13467.33
E02004463,E01021424,9496398.02,834,11386.57,10551.98
E02004464,E01021441,8941809.1,545,16406.99,15370.92
E02004464,E01021442,9312157.27,508,18331.02,17763.11
E02004464,E01021443,7738335.31,427,18122.57,16130.56
E02004464,E01021444,10178869.44,628,16208.39,14740.36
E02004464,E01021469,6846514.34,387,17691.25,16335.31
E02004464,E01021470,5948519.29,316,18824.43,18176.56
E02004464,E01021471,12212911.97,597,20457.14,19372.9
E02004465,E01021457,9273171.12,495,18733.68,15130.56
E02004465,E01021458,12741464.95,810,15730.2,14350.64
E02004465,E01021459,10547520.28,521,20244.76,18821.96
E02004465,E01021460,10292164.19,683,15069.05,13545.99
E02004466,E01021448,8204917.9,705,11638.18,10356.08
E02004466,E01021449,9114009.89,635,14352.77,12692.38
E02004466,E01021450,14000941.64,815,17179.07,16288.82
E02004466,E01021451,6927195.85,640,10823.74,9996.04
E02004466,E01021452,9427595.45,657,14349.46,13411.47
E02004467,E01021431,10821801.19,634,17069.09,16002.97
E02004467,E01021432,7533418.4,653,11536.63,10640.95
E02004467,E01021434,9140185.95,653,13997.22,12530.17
E02004467,E01021461,7352527.2,640,11488.32,10918.4
E02004467,E01021464,8186284.87,619,13225.02,12900.1
E02004468,E01021447,21692974.28,962,22549.87,21635.51
E02004468,E01021453,7761620.18,472,16444.11,15617.21
E02004468,E01021455,16126219.58,525,30716.61,28684.47
E02004468,E01021465,15608625.12,856,18234.38,17537.09
E02004468,E01021466,18818088.03,667,28213.03,26555.89
E02004468,E01021467,13909994.07,690,20159.41,18860.53
E02004469,E01021438,15111515.33,772,19574.5,18761.62
E02004469,E01021462,8386309.59,582,14409.47,13833.33
E02004469,E01021463,10570036.6,639,16541.53,14950.54
E02004469,E01021468,12825895.15,746,17192.89,16070.23
E02004470,E01021433,10950351.14,920,11902.56,10238.38
E02004470,E01021436,13100475.77,950,13789.97,10776.46
E02004470,E01021439,12969091,1182,10972.16,9093.47
E02004470,E01021475,8490663.7,679,12504.66,11799.21
E02004470,E01033063,8682516.32,590,14716.13,11539.56
E02004470,E01033064,6207696.34,506,12268.17,11115.23
E02004471,E01021435,11658907.02,764,15260.35,13035.11
E02004471,E01021437,7785497.53,761,10230.61,9834.82
E02004471,E01021472,8487218.75,791,10729.73,9325.42
E02004471,E01021473,8360545.99,509,16425.43,13989.12
E02004471,E01021474,11717716.12,574,20414.14,19324.43
E02004472,E01021445,16598054.4,839,19783.14,18039.56
E02004472,E01021446,9924852.62,654,15175.62,14704.25
E02004472,E01021454,6544333.33,492,13301.49,12606.82
E02004472,E01021456,9612287.83,454,21172.44,15251.73
E02004473,E01021513,8600766.57,619,13894.61,13394.66
E02004473,E01021514,6937305.64,571,12149.4,12205.74
E02004473,E01021515,6823839.76,498,13702.49,13393.67
E02004473,E01021525,7454313.55,515,14474.4,14371.91
E02004473,E01021527,10345748.76,685,15103.28,14714.14
E02004474,E01021509,9087863.5,641,14177.63,13750.74
E02004474,E01021510,9582270.03,660,14518.59,14084.08
E02004474,E01021511,11054497.53,776,14245.49,12759.15
E02004474,E01021528,9512583.58,566,16806.68,15824.43
E02004474,E01021531,9679970.33,597,16214.36,13928.78
E02004475,E01021476,11671746.79,733,15923.26,15004.95
E02004475,E01021477,10349813.06,659,15705.33,14804.15
E02004475,E01021478,10830109.79,687,15764.35,15255.19
E02004475,E01021516,8138816.02,557,14611.88,14017.8
E02004476,E01021479,9482719.09,591,16045.21,15087.04
E02004476,E01021481,10509935.71,576,18246.42,17660.24
E02004476,E01021483,14479988.13,699,20715.29,18196.83
E02004476,E01021512,9602569.73,630,15242.17,14830.37
E02004476,E01021526,10663143.42,634,16818.84,15878.34
E02004477,E01021517,12657752.72,696,18186.43,16920.38
E02004477,E01021519,10743287.83,658,16327.19,15782.39
E02004477,E01021530,9138082.1,597,15306.67,14717.11
E02004477,E01021532,10600585.56,637,16641.42,15364
E02004478,E01021482,9719113.75,581,16728.25,15541.05
E02004478,E01021518,11573532.15,887,13047.95,11944.61
E02004478,E01021520,9651233.43,618,15616.88,14866.96
E02004478,E01021529,8010165.18,594,13485.13,12506.43
E02004479,E01021480,12020080.12,707,17001.53,16080.12
E02004479,E01021521,8630049.46,611,14124.47,13796.24
E02004479,E01021522,10682357.07,803,13303.06,12359.05
E02004479,E01021523,9206080.12,578,15927.47,15392.68
E02004479,E01021524,9422940.65,649,14519.17,13773.49
E02004480,E01021487,7466633.04,601,12423.68,11500.49
E02004480,E01021494,7731425.32,601,12864.27,12108.8
E02004480,E01021504,7497312.56,430,17435.61,17007.42
E02004480,E01021505,7218168.15,487,14821.7,13909.99
E02004480,E01021506,4720787.34,464,10174.11,9836.8
E02004481,E01021492,9629558.85,762,12637.22,11994.07
E02004481,E01021493,8476638.97,675,12557.98,11848.66
E02004481,E01021495,4899486.65,393,12466.89,11511.37
E02004481,E01021496,7719400.59,594,12995.62,12061.82
E02004482,E01021485,5901817.01,493,11971.23,11093.97
E02004482,E01021486,4959138.48,433,11452.98,11000
E02004482,E01021488,7511231.45,655,11467.53,11093.97
E02004482,E01021503,7664517.31,576,13306.45,12498.02
E02004482,E01021507,5669557.86,560,10124.21,9437.69
E02004482,E01021508,4172169.14,429,9725.34,9409.5
E02004483,E01021484,7731776.46,565,13684.56,12590.5
E02004483,E01021498,10475611.28,631,16601.6,15384.77
E02004483,E01021499,9770528.19,627,15582.98,14715.13
E02004483,E01021501,8136977.25,588,13838.4,13106.82
E02004483,E01021502,10541983.18,768,13726.54,13092.98
E02004484,E01021489,8479983.18,666,12732.71,11937.19
E02004484,E01021490,7885615.23,652,12094.5,10898.12
E02004484,E01021491,9786722.06,682,14350.03,13350.15
E02004484,E01021497,8886022.75,671,13242.95,12290.8
E02004484,E01021500,8429287.83,632,13337.48,12675.57
E02004485,E01021538,6005525.74,446,13465.3,12127.72
E02004485,E01021539,-,-,-,-
E02004485,E01021540,632718.81,53,11938.09,10490.1
E02004485,E01021541,6754096.04,579,11665.11,10699.01
E02004486,E01021542,11473658.03,893,12848.44,11699.01
E02004486,E01021543,9675160.4,629,15381.81,14570.3
E02004486,E01021587,10084946.53,654,15420.41,15218.32
E02004486,E01021590,8072041.58,551,14649.8,14048.51
E02004486,E01021591,8893545.54,581,15307.31,15026.73
E02004487,E01021550,944439.6,66,14309.69,13721.29
E02004487,E01021597,7319726.73,606,12078.76,11525.25
E02004487,E01021598,7910404.95,636,12437.74,11333.17
E02004487,E01021600,6468519.8,440,14701.18,14463.37
E02004487,E01021601,5866472.28,586,10011.04,9536.14
E02004488,E01021616,10803102.97,807,13386.74,13018.81
E02004488,E01021617,5296099.01,503,10529.02,10216.83
E02004488,E01021619,5863613.86,545,10758.92,10571.29
E02004488,E01021620,4298084.16,347,12386.41,11243.56
E02004488,E01021623,5700135.64,493,11562.14,11676.24
E02004488,E01021624,7614103.96,544,13996.51,13340.1
E02004489,E01021536,6958048.51,611,11387.97,10147.52
E02004489,E01021537,9237149.5,670,13786.79,13350
E02004489,E01021568,9968025.74,428,23289.78,21203.47
E02004489,E01033142,10155401.98,752,13504.52,12981.68
E02004489,E01033144,12623746.53,633,19942.73,16573.27
E02004490,E01021576,6261661.39,653,9589.07,8955.45
E02004490,E01021588,7097513.86,612,11597.24,11211.39
E02004490,E01021589,6914436.63,572,12088.18,10944.06
E02004490,E01021592,6658278.22,636,10468.99,9124.26
E02004490,E01021596,6246617.82,676,9240.56,8807.43
E02004491,E01021618,6071832.67,493,12316.09,11952.48
E02004491,E01021621,4190718.81,411,10196.4,9834.65
E02004491,E01021622,10576077.23,633,16707.86,15283.17
E02004491,E01021625,8187909.9,597,13715.09,12909.9
E02004491,E01021626,9075163.37,531,17090.7,15841.58
E02004492,E01021544,6094747.52,542,11244.92,9576.73
E02004492,E01021545,7760858.42,637,12183.45,11473.27
E02004492,E01021546,5995929.7,474,12649.64,12170.3
E02004492,E01021547,5967738.61,447,13350.65,12663.37
E02004492,E01021628,9672548.51,694,13937.39,12632.18
E02004492,E01021629,8692184.16,703,12364.42,11139.6
E02004493,E01021573,10100820.79,647,15611.78,14455.45
E02004493,E01021575,7906093.07,675,11712.73,9783.17
E02004493,E01021599,11974400.99,743,16116.29,15129.7
E02004493,E01021631,8415059.41,749,11235.06,10940.59
E02004493,E01033138,8039426.73,579,13885.02,12765.35
E02004493,E01033139,5630121.78,445,12651.96,11876.24
E02004494,E01021574,11730748.51,1248,9399.64,7203.47
E02004494,E01021578,7412176.24,635,11672.72,9114.85
E02004494,E01021582,10106872.28,868,11643.86,9487.62
E02004494,E01021627,6715516.83,556,12078.27,11118.81
E02004494,E01033140,7245212.87,589,12300.87,8943.56
E02004494,E01033141,6111893.16,567,10779.35,7429.7
E02004495,E01021551,-,-,-,-
E02004495,E01021632,9180816.83,653,14059.44,13648.51
E02004495,E01021633,8143514.85,448,18177.49,16328.22
E02004495,E01021634,6410594.06,456,14058.32,13520.79
E02004495,E01021635,8250787.13,595,13866.87,13428.71
E02004495,E01021636,6066441.58,489,12405.81,10516.83
E02004496,E01021556,11563474.26,875,13215.4,11771.29
E02004496,E01021577,8609906.93,600,14349.84,13824.26
E02004496,E01021579,9490395.05,681,13935.97,13367.33
E02004496,E01021580,8804271.29,519,16963.91,17096.04
E02004496,E01021584,7625193.07,479,15918.98,15000
E02004497,E01021548,5558129.7,411,13523.43,13242.57
E02004497,E01021560,10386009.9,676,15363.92,14111.39
E02004497,E01021561,10114350.5,735,13761.02,13549.5
E02004497,E01021564,9736025.74,631,15429.52,14565.35
E02004497,E01021571,6367031.68,344,18508.81,17433.17
E02004498,E01021562,9420816.83,778,12109.02,11024.75
E02004498,E01021563,7958148.51,793,10035.5,9160.4
E02004498,E01021565,6889793.07,664,10376.19,9617.33
E02004498,E01021566,9259596.04,640,14468.12,13581.19
E02004498,E01033137,7831890.1,577,13573.47,13412.87
E02004498,E01033145,8344987.13,659,12663.11,11864.36
E02004499,E01021557,5527847.52,495,11167.37,10954.46
E02004499,E01021558,6012481.19,521,11540.27,11011.88
E02004499,E01021583,7496834.65,571,13129.31,12504.95
E02004499,E01021585,5921654.46,498,11890.87,11585.15
E02004499,E01021586,8147272.28,623,13077.48,12368.32
E02004500,E01021533,12693620.79,852,14898.62,14378.71
E02004500,E01021535,5211394.06,330,15792.1,14049.5
E02004500,E01021569,11452028.71,556,20597.17,19100
E02004500,E01021570,10892245.54,582,18715.2,17668.32
E02004500,E01021572,6808491.09,509,13376.21,11862.38
E02004501,E01021552,8890727.72,620,14339.88,13369.8
E02004501,E01021553,6363078.22,553,11506.47,11429.7
E02004501,E01021554,7286524.75,595,12246.26,11022.77
E02004501,E01021555,7248761.39,481,15070.19,14443.56
E02004501,E01021559,8250493.07,461,17896.95,16489.11
E02004502,E01021602,5538888.86,272,20363.56,16537.09
E02004502,E01021604,14421630.07,760,18975.83,17200.3
E02004502,E01033143,12229929.58,524,23339.56,21357.57
E02004503,E01021611,7503290.1,540,13894.98,12841.09
E02004503,E01021612,7876797.03,600,13128,12284.65
E02004503,E01021613,8296939.6,676,12273.58,11156.44
E02004503,E01021614,9626453.47,631,15255.87,14780.2
E02004503,E01021615,7832209.9,585,13388.39,12591.09
E02004504,E01021605,6889773.27,462,14912.93,14738.12
E02004504,E01021606,9308351.49,564,16504.17,15804.95
E02004504,E01021607,6570893.07,562,11691.98,11409.9
E02004504,E01021608,4157665.35,407,10215.39,10135.64
E02004504,E01021609,9045516.83,529,17099.28,16007.92
E02004504,E01021610,5542469.31,452,12262.1,11625.25
E02004505,E01021593,9909685.46,690,14361.86,13624.13
E02004505,E01021594,1733540.06,131,13233.13,12276.95
E02004505,E01021595,11073106.82,646,17141.03,16341.25
E02004506,E01021655,220340.59,10,22034.06,20504.95
E02004506,E01021656,9388263.37,526,17848.41,15282.18
E02004506,E01021659,-,-,-,-
E02004506,E01021661,-,-,-,-
E02004507,E01021668,3945506.93,354,11145.5,10629.7
E02004507,E01021669,4085227.72,479,8528.66,8227.72
E02004507,E01021670,6765818.81,576,11746.21,9611.88
E02004507,E01021671,8343996.04,500,16687.99,16525.74
E02004507,E01033720,9621373.25,734,13108.14,10796.53
E02004507,E01033721,7849224.66,647,12131.72,11624.75
E02004508,E01021660,3902216.83,258,15124.87,14079.21
E02004508,E01021728,9803195.05,562,17443.41,16634.16
E02004508,E01021729,7825251.49,617,12682.74,11749.5
E02004508,E01021730,8513634.65,576,14780.62,13724.75
E02004509,E01021679,13307930.69,1190,11183.14,10654.46
E02004509,E01021680,15918581.19,1248,12755.27,11797.52
E02004509,E01021681,15415406.93,1091,14129.61,12726.73
E02004509,E01021682,14548319.8,1096,13274.01,12352.48
E02004512,E01021646,9794856.44,707,13854.11,11742.57
E02004512,E01021647,9826104.95,826,11896.01,11035.64
E02004512,E01021648,11386748.51,995,11443.97,9857.43
E02004512,E01021649,11396408.91,925,12320.44,8573.27
E02004512,E01021650,8589908.91,754,11392.45,10177.23
E02004513,E01021696,6057704.95,727,8332.47,7875.25
E02004513,E01021697,7017523.76,682,10289.62,9950.99
E02004513,E01021698,4340917.82,435,9979.12,9227.72
E02004513,E01021699,5985111.88,610,9811.66,9288.12
E02004513,E01021700,4579270.3,557,8221.31,7647.52
E02004513,E01033719,1429667.33,150,9531.12,6909.41
E02004513,E01033722,5496263.37,534,10292.63,9175.74
E02004514,E01021673,10820581.19,596,18155.34,15971.78
E02004514,E01021674,6334837.62,526,12043.42,10929.21
E02004514,E01021675,8719555.45,543,16058.11,15080.2
E02004514,E01021676,12328199.01,673,18318.27,16771.29
E02004515,E01021654,13437673.27,864,15552.86,14324.75
E02004515,E01021662,-,-,-,-
E02004515,E01021663,-,-,-,-
E02004515,E01021677,7204204.95,474,15198.74,14149.5
E02004515,E01021678,5914203.96,442,13380.55,12608.91
E02004516,E01021683,8254056.44,825,10004.92,8706.93
E02004516,E01021684,6883283.17,621,11084.19,10305.94
E02004516,E01021685,8199154.46,878,9338.44,8353.47
E02004516,E01021686,10015980.2,1037,9658.61,8235.64
E02004516,E01021687,8386625.74,789,10629.44,9973.27
E02004516,E01021688,7916822.77,697,11358.43,10457.43
E02004517,E01021718,8462008.91,666,12705.72,11500.99
E02004517,E01021719,9406817.82,696,13515.54,12468.32
E02004517,E01021720,7096127.72,665,10670.87,9756.44
