MSOA,LSOA,Consumption (kWh),Number of meters,Mean consumption (kWh per meter),Median consumption (kWh per meter)
E02002610,E01012513,14223350.64,820,17345.55,15907.44
E02002610,E01012514,12814127.33,785,16323.73,15143
E02002610,E01012515,8576728.7,637,13464.25,12413.32
E02002610,E01012516,11538049.95,637,18113.11,15813.91
E02002610,E01012517,12683582.76,927,13682.4,12754.16
E02002610,E01012518,12442361.41,743,16746.11,15056.81
E02002610,E01012519,9733126.35,647,15043.47,13467.19
E02002611,E01012485,7026881.49,552,12729.86,12123.41
E02002611,E01012486,8488347.7,574,14788.06,14376.1
E02002611,E01012487,9147543.58,618,14801.85,14663.08
E02002611,E01012489,14863366.31,705,21082.79,19638.59
E02002611,E01012490,8654870.71,654,13233.75,12653.77
E02002612,E01012450,9496819.78,524,18123.7,15844.76
E02002612,E01012451,7342571.99,658,11158.92,10442.7
E02002612,E01012557,11220906.95,812,13818.85,12279.14
E02002612,E01012558,12837096.96,780,16457.82,14987.76
E02002612,E01012559,10982115.57,610,18003.47,16548.48
E02002612,E01012560,8992905,597,15063.49,14194.91
E02002613,E01012448,7573055.83,433,17489.74,16584.72
E02002613,E01012488,12658531.83,701,18057.82,16753.18
E02002613,E01012502,12639002.94,631,20030.12,18502.45
E02002613,E01012503,9306492.65,486,19149.16,17590.6
E02002614,E01012446,10473632.71,512,20456.31,18886.39
E02002614,E01012447,10371915.77,489,21210.46,20047.01
E02002614,E01012449,11674236.04,661,17661.48,17038.2
E02002614,E01012452,16722204.7,724,23096.97,21023.02
E02002615,E01012607,9203839.37,640,14381,13193.93
E02002615,E01012608,9266518.12,792,11700.15,10314.4
E02002615,E01012633,11093494.61,769,14425.87,13696.38
E02002615,E01012634,7686706.17,600,12811.18,11936.83
E02002615,E01012635,11714457.39,682,17176.62,16273.75
E02002615,E01012636,11418070.52,734,15555.95,15218.9
E02002616,E01012581,8128237.02,511,15906.53,15169.44
E02002616,E01012582,11663230.17,536,21759.76,20632.71
E02002616,E01012583,12652202.74,688,18389.83,17615.57
E02002616,E01012587,12556356.51,707,17760.05,16686.58
E02002616,E01012588,9920719.88,627,15822.52,15254.65
E02002617,E01012574,5561927.52,577,9639.39,8819.78
E02002617,E01012577,7712536.73,529,14579.46,15143
E02002617,E01012578,8735567.09,617,14158.13,12819.78
E02002617,E01012605,10045360.43,681,14750.9,13869.74
E02002617,E01012606,8462122.43,542,15612.77,13557.79
E02002618,E01012579,6116621.94,474,12904.27,12376.59
E02002618,E01012580,9310289.91,606,15363.51,14678.26
E02002618,E01012642,8523812.93,507,16812.25,15657.2
E02002618,E01012645,10627333.99,605,17565.84,16791.38
E02002619,E01012585,9357812.93,478,19577.01,18026.93
E02002619,E01012586,7764118.51,462,16805.45,14974.05
E02002619,E01012656,7516620.96,661,11371.59,9954.95
E02002619,E01012657,7565908.91,646,11711.93,10914.3
E02002619,E01012658,9959348.68,811,12280.33,11469.15
E02002620,E01012629,4413797.26,406,10871.42,9056.32
E02002620,E01012631,5092740.45,581,8765.47,7194.91
E02002620,E01012643,6222213.52,510,12200.42,10802.64
